repo_name,depth,timelag,complexity,nloc
https://github.com/tschaub/mock-fs,7,95,2.3,1683.0
https://github.com/mysticatea/cpx,8,88,5.2,1031.0
https://github.com/qunitjs/qunit,8,1,4.0,3904.0
https://github.com/krampstudio/grunt-jsdoc,12,144,4.3,202.0
https://github.com/reduxjs/reselect,9,68,2.1,85.0
https://github.com/jeremyfa/yaml.js,4,93,5.2,6756.0
https://github.com/dominictarr/JSONStream,3,453,4.7,217.0
https://github.com/mattdesl/budo,9,7,3.0,1395.0
https://github.com/npm/nopt,10,1161,5.8,410.0
https://github.com/teambition/gulp-sequence,10,89,2.1,62.0
https://github.com/sindresorhus/gulp-jasmine,9,623,5.5,124.0
https://github.com/clessg/progress-bar-webpack-plugin,2,209,6.0,65.0
https://github.com/steveukx/git-js,9,43,2.3,1501.0
https://github.com/azeemba/eslint-plugin-json,6,263,2.2,111.0
https://github.com/developit/microbundle,9,13,7.9,691.0
https://github.com/benjamn/install,3,73,2.8,313.0
https://github.com/acdlite/recompose,9,60,3.8,3278.0
https://github.com/ben-eb/gulp-cssnano,5,592,2.8,45.0
